kmeans_cluster,dbscan_cluster,calculated_RUL_tons,RUL_Class
1,1,60584,Healthy
0,0,60580,Medium
0,0,60569,Healthy
0,0,60564,Healthy
0,0,60561,Healthy
2,0,60533,Healthy
0,0,60488,Healthy
0,0,60488,Healthy
2,0,60449,Low
0,0,60425,Healthy
2,0,60417,Healthy
2,0,60417,Healthy
1,1,60414,Healthy
0,0,60410,Medium
2,0,60402,Healthy
0,0,60397,Healthy
2,0,60395,Healthy
2,0,60360,Healthy
2,0,60354,Healthy
2,0,60328,Healthy
2,0,60325,Healthy
2,0,60286,Low
2,0,60262,Healthy
2,0,60253,Healthy
2,0,60253,Healthy
1,1,60250,Healthy
2,0,60238,Medium
0,0,60234,Healthy
0,0,60230,Healthy
2,0,60229,Healthy
2,0,60194,Healthy
2,0,60191,Healthy
2,0,60165,Healthy
0,0,60162,Healthy
2,0,60132,Healthy
2,0,60123,Low
0,0,60096,Healthy
1,1,60086,Healthy
2,0,60081,Healthy
2,0,60081,Healthy
0,0,60068,Healthy
2,0,60066,Medium
2,0,60064,Healthy
2,0,60055,Healthy
2,0,60031,Healthy
2,0,60018,Healthy
2,0,60002,Healthy
2,0,60001,Healthy
0,0,59966,Healthy
2,0,59960,Low
0,0,59933,Healthy
1,1,59916,Healthy
0,0,59909,Healthy
0,0,59909,Healthy
0,0,59905,Healthy
2,0,59901,Healthy
0,0,59896,Medium
2,0,59894,Healthy
2,0,59864,Healthy
2,0,59853,Healthy
2,0,59842,Healthy
0,0,59841,Healthy
0,0,59800,Healthy
2,0,59796,Low
0,0,59769,Healthy
3,2,59751,Healthy
0,0,59748,Healthy
0,0,59742,Healthy
0,0,59742,Healthy
2,0,59734,Healthy
2,0,59728,Medium
0,0,59727,Medium
2,0,59698,Healthy
0,0,59690,Healthy
2,0,59682,Healthy
2,0,59675,Healthy
0,0,59634,Healthy
0,0,59630,Low
0,0,59603,Healthy
0,0,59594,Healthy
3,2,59587,Healthy
2,0,59580,Healthy
0,0,59576,Healthy
0,0,59576,Healthy
2,0,59565,Medium
2,0,59558,Medium
2,0,59535,Healthy
0,0,59524,Healthy
2,0,59522,Healthy
2,0,59512,Healthy
0,0,59474,Healthy
0,0,59464,Low
0,0,59453,Healthy
0,0,59434,Healthy
0,0,59434,Healthy
3,3,59426,Healthy
2,0,59414,Healthy
0,0,59410,Healthy
0,0,59410,Healthy
0,0,59399,Medium
2,0,59388,Medium
2,0,59372,Healthy
0,0,59361,Healthy
2,0,59359,Healthy
0,0,59336,Healthy
0,0,59304,Healthy
0,0,59294,Low
0,0,59293,Healthy
0,0,59271,Healthy
0,0,59267,Healthy
