PC1,PC2,calculated_RUL_tons,RUL_Class
1.1015996581072585,-1.3150735157136846,68750,Healthy
0.21132678819153008,-0.23208046273035293,68723,Healthy
1.0730566506646142,-1.535490181011039,68718,Healthy
-3.193321341134145,0.9436515971648652,68689,Healthy
-0.048047490794146545,0.32303888046280776,68685,Medium
0.17963255302922929,0.0954222452610622,68674,Healthy
1.3888858472397665,-0.4548493899708646,68655,Healthy
-0.15620877973893743,0.6119997881887417,68606,Healthy
1.3561557479389574,-1.8257381482365767,68580,Healthy
1.3364455953951442,-1.8439072493794617,68580,Healthy
0.22711182290349644,-0.11204704020873542,68559,Healthy
0.8456153891420404,0.1307979676357858,68552,Healthy
-4.498052296478239,-0.9127400798046584,68521,Healthy
0.27055610793943335,0.8995343384127484,68518,Medium
0.3942333350439001,-0.2760184720554374,68508,Healthy
0.7988254899899313,0.21055647368521785,68486,Healthy
0.09658262902425843,0.4635120504304011,68443,Healthy
0.6514515339546934,-0.4132636954699003,68417,Healthy
0.6711616864985066,-0.3950945943270152,68417,Healthy
0.09878495558517333,0.09749779700478416,68396,Healthy
1.2794223492243828,-0.8917949959995317,68380,Healthy
0.41535183682068993,1.033009116817094,68352,Medium
2.287033478570203,-2.573539495231093,68349,Healthy
0.3942333350439001,-0.2760184720554374,68341,Healthy
1.1956028475819738,-0.45411134547817805,68317,Healthy
0.7360530404631844,-0.7489724040745523,68277,Healthy
0.49953567439672597,-0.7138416140609478,68242,Healthy
0.4798255218529127,-0.732010715203833,68242,Healthy
0.4141184952130626,-0.577530866615263,68230,Healthy
-1.281199460543892,2.9439043579070883,68229,Healthy
0.27508411508125874,1.0461854960215178,68189,Medium
-0.6502265010630385,1.3986555882781782,68182,Healthy
0.5829854039813092,-0.7427745264783926,68172,Healthy
0.9283114399885676,0.31325093314308966,68153,Healthy
0.456506828679684,0.1544537494816124,68120,Healthy
0.3439807954400033,-0.00845923940286065,68075,Healthy
0.32427064289619006,-0.02662834054574576,68075,Healthy
0.27730583196004066,-0.5052069244574963,68061,Healthy
0.3537422861720489,-0.7926437642931174,68056,Healthy
0.41986323894773536,1.1796449676852208,68026,Medium
0.6655201334832918,-0.8512834276079262,68015,Healthy
0.5829854039813092,-0.7427745264783926,68003,Healthy
1.024271287351539,0.1287077633873734,67990,Healthy
0.8590452320102803,-1.2666614059244574,67947,Healthy
0.7872624380422212,-0.644841474745788,67912,Healthy
0.8069559855712545,-0.6266876803435456,67912,Healthy
0.39227681152684174,-0.25827532614289017,67900,Healthy
-0.5534497114891074,1.3496192302073082,67896,Healthy
0.7662419710842192,-0.06510288194377321,67856,Medium
0.916215941849002,-1.2078994561664964,67849,Healthy
1.047766200190626,-1.3646979688773186,67836,Healthy
0.9158366886710754,0.44899352123527814,67830,Healthy
-0.18304941423989546,0.5713553928217411,67777,Healthy
0.5160896485664704,-0.3451396451454014,67746,Healthy
0.5357499860659438,-0.3270164642244444,67746,Healthy
0.1127635016081446,-0.09807948172967958,67734,Healthy
0.27339187721092983,0.841819864591728,67721,Healthy
0.9110210949506958,0.06835658971992964,67687,Medium
0.36243000385687957,-0.1530162228332448,67686,Healthy
1.2394775387123511,-0.08655977067887811,67670,Healthy
1.047766200190626,-1.3646979688773186,67670,Healthy
1.0079944258543174,-1.2117148353397629,67611,Healthy
1.0097705082164632,-0.9696387770834286,67583,Healthy
0.99011017071699,-0.9877619580043856,67583,Healthy
0.12890967700400288,0.01986783828886964,67571,Healthy
0.4108950783236326,1.1893094734636331,67557,Healthy
0.10313689323037392,0.1158038262299972,67520,Healthy
1.0893707712591367,-0.7592215170687057,67515,Medium
0.8984957045412599,0.17409268361527983,67504,Healthy
1.282545717419392,-1.8935929295056666,67501,Healthy
-0.1469226507032245,2.4850936138044277,67456,Healthy
0.9731954658898386,-0.6161918950751033,67426,Healthy
0.9535351283903652,-0.6343150759960603,67426,Healthy
